# SR785 Transfer Function Measurement
#Title: 2017-03-10.145346
#Memo: 
#Instrument ID: Stanford_Research_Systems,SR785,s/n77547,ver220
#
#---------- Given Arguments ----------
#Coherence: True
#arMode: UpOnly
#excAmp: .5
#filename: outputs/2017-03-10.145346
#gpibAddress: 10
#inputCoupling1: DC
#inputCoupling2: DC
#inputGND1: Float
#inputGND2: Float
#inputRange1: 
#inputRange2: 
#intCycles: 20
#ipAddress: gpib2.mit.edu
#memo: 
#numOfPoints: 200
#settleCycles: 2
#skipReset: False
#startFreq: 100000Hz
#stopFreq: 1Hz
#sweepType: Log
#title: 2017-03-10.145346
#
#---------- Measurement Parameters ----------
#Measurement Group: Swept Sine, Swept Sine, Swept Sine
#Measurements: Frequency Response, Frequency Response, Normalized variance 2
#View: Log Magnitude, Phase, Linear Magnitude
#Unit: dB, deg,  
#
#---------- Input Parameters ----------
#Input Source: Analog
#Input Mode: Single ended, Single ended
#Input Grounding: Float, Float
#Input Coupling: AC, AC
#Input Range: -36.0dBVpk, -22.0dBVpk
#Auto Range: On, On
#Auto Range Mode: Up Only, Normal
#Anti-Aliasing Filter: On, On
#
#---------- Measurement Setup ------------
#Start frequency = 100000.0
#Stop frequency = 1.0
#Number of frequency points = 201
#Excitation amplitude = 0.5mVpp
#Settling cycles = 2
#Integration cycles = 20
#
#---------- Instrument Data -----------
## Freqency(Hz) Magnitude(dB) Phase(deg) Coherence
1.0000000e+00 7.6255447e+01 6.0822353e+01 9.9999994e-01 
1.0595602e+00 7.6439064e+01 6.1710880e+01 9.9999994e-01 
1.1226678e+00 7.6255013e+01 6.5798027e+01 9.9999994e-01 
1.1895341e+00 7.6468773e+01 7.0450317e+01 9.9999994e-01 
1.2603829e+00 7.6544991e+01 7.5911835e+01 9.9999994e-01 
1.3354516e+00 7.5828720e+01 7.6377655e+01 9.9999994e-01 
1.4149913e+00 7.5370499e+01 8.3486740e+01 9.9999976e-01 
1.4992684e+00 7.5621544e+01 8.5565559e+01 9.9999976e-01 
1.5885651e+00 7.7484489e+01 9.1879044e+01 9.9999994e-01 
1.6831804e+00 7.5657669e+01 9.6200188e+01 9.9999994e-01 
1.7834309e+00 7.6478523e+01 1.0096310e+02 9.9999994e-01 
1.8896523e+00 7.5537102e+01 1.0499934e+02 9.9999988e-01 
2.0022004e+00 7.5442467e+01 1.1350897e+02 9.9999988e-01 
2.1214518e+00 7.5456161e+01 1.1878843e+02 9.9999994e-01 
2.2478058e+00 7.5167091e+01 1.2560067e+02 9.9999994e-01 
2.3816856e+00 7.4676239e+01 1.3121767e+02 9.9999994e-01 
2.5235392e+00 7.4224457e+01 1.3480962e+02 9.9999994e-01 
2.6738416e+00 7.3859421e+01 1.5078302e+02 9.9999994e-01 
2.8330961e+00 7.3449234e+01 1.4896275e+02 9.9999994e-01 
3.0018358e+00 7.2965553e+01 1.5690993e+02 9.9999994e-01 
3.1806257e+00 7.2311401e+01 1.5682387e+02 9.9999994e-01 
3.3700643e+00 7.1580536e+01 1.6441861e+02 9.9999994e-01 
3.5707860e+00 7.0960434e+01 1.6992975e+02 9.9999994e-01 
3.7834626e+00 7.0393967e+01 -1.7910930e+02 9.9999994e-01 
4.0088063e+00 6.9697746e+01 1.7445256e+02 9.9999988e-01 
4.2475716e+00 6.8198471e+01 -1.7182991e+02 9.9999970e-01 
4.5005577e+00 6.8172905e+01 -1.6895970e+02 9.9999982e-01 
4.7686117e+00 6.7921059e+01 -1.7732385e+02 9.9999994e-01 
5.0526311e+00 6.7196960e+01 -1.6941293e+02 9.9999994e-01 
5.3535667e+00 6.5645027e+01 -1.6239056e+02 9.9999893e-01 
5.6724261e+00 6.4405243e+01 -1.5849338e+02 9.9999994e-01 
6.0102768e+00 6.3837856e+01 -1.5682823e+02 9.9999976e-01 
6.3682499e+00 6.3250706e+01 -1.5644574e+02 9.9999851e-01 
6.7475441e+00 6.3167854e+01 -1.5090405e+02 9.9999791e-01 
7.1494290e+00 6.2467434e+01 -1.4834615e+02 9.9999994e-01 
7.5752503e+00 6.1224728e+01 -1.4764319e+02 9.9999785e-01 
8.0264335e+00 6.1229881e+01 -1.4177008e+02 9.9999917e-01 
8.5044893e+00 6.0170940e+01 -1.4346332e+02 9.9999887e-01 
9.0110183e+00 5.9685081e+01 -1.4154840e+02 9.9999994e-01 
9.5477161e+00 5.8968567e+01 -1.4013853e+02 9.9999976e-01 
1.0116380e+01 5.7845268e+01 -1.3564774e+02 9.9999994e-01 
1.0718913e+01 5.7461754e+01 -1.3521297e+02 9.9999994e-01 
1.1357334e+01 5.6320663e+01 -1.3356331e+02 9.9999994e-01 
1.2033778e+01 5.6756699e+01 -1.3266954e+02 9.9999976e-01 
1.2750512e+01 5.5259872e+01 -1.3169861e+02 9.9999994e-01 
1.3509935e+01 5.4892933e+01 -1.2877435e+02 9.9999994e-01 
1.4314589e+01 5.3952312e+01 -1.2867009e+02 9.9999893e-01 
1.5167169e+01 5.3634407e+01 -1.2756393e+02 9.9999994e-01 
1.6070528e+01 5.2941624e+01 -1.2311361e+02 9.9999851e-01 
1.7027692e+01 5.2324505e+01 -1.2581724e+02 9.9999851e-01 
1.8041864e+01 5.1476292e+01 -1.2054347e+02 9.9999988e-01 
1.9116441e+01 5.0995670e+01 -1.2228938e+02 9.9999994e-01 
2.0255019e+01 5.0571968e+01 -1.2098626e+02 9.9999976e-01 
2.1461412e+01 4.9517994e+01 -1.1984868e+02 9.9999988e-01 
2.2739658e+01 4.9065823e+01 -1.1764907e+02 9.9999857e-01 
2.4094036e+01 4.8487129e+01 -1.1676016e+02 9.9999946e-01 
2.5529081e+01 4.7793617e+01 -1.1554722e+02 9.9999934e-01 
2.7049597e+01 4.6903034e+01 -1.1646407e+02 9.9999732e-01 
2.8660676e+01 4.6312401e+01 -1.1431017e+02 9.9999112e-01 
3.0367711e+01 4.5519386e+01 -1.1449638e+02 9.9999183e-01 
3.2176418e+01 4.5403336e+01 -1.1000510e+02 9.9999923e-01 
3.4092851e+01 4.5076557e+01 -1.1051598e+02 9.9999964e-01 
3.6123427e+01 4.4283997e+01 -1.0709785e+02 9.9999911e-01 
3.8274945e+01 4.3098171e+01 -1.0813043e+02 9.9999863e-01 
4.0554607e+01 4.2999699e+01 -1.1058828e+02 9.9999797e-01 
